UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Date,Confirmed,Deaths
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/10/2020,92384,9803
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/11/2020,98308,10517
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/12/2020,103208,11265
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/13/2020,106763,12021
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/14/2020,110465,12675
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/15/2020,118302,13236
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/16/2020,123146,13785
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/17/2020,127352,14261
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/18/2020,131334,14767
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/19/2020,134267,15258
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/20/2020,136591,15717
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/21/2020,139348,16134
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/22/2020,142227,16527
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/23/2020,145855,16938
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/24/2020,150473,17311
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/25/2020,155113,17628
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/26/2020,158258,17928
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/27/2020,160489,18246
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/28/2020,162338,18504
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/29/2020,164841,18779
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/30/2020,167478,19034
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",5/1/2020,169690,19281
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",5/2/2020,172354,19504
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",5/3/2020,174331,19712
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",5/4/2020,175651,19906
